Time,Hubei,Hebei,Yunnan,Sichuan,Shandong,Guangxi,Guizhou,Fujian,Anhui,Hainan,Ningxia,Jilin,Jiangxi,Tianjin,Henan,Chongqing,Aomen,Shanxi,Taiwan,Hongkong,Sanxi,Hunan,Liaoning,Beijing,Guangdong,Shanghai,Zhejiang,Heilongjiang,Jiangsu,Neimenggu,Gansu,Xinjiang,Qinhai,Total
0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
7,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
9,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
11,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
12,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
13,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
15,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
17,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,67
18,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,126
19,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,203
20,270,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,14,2,5,0,0,0,0,0,0,298
21,375,0,1,2,1,0,0,0,0,0,0,0,2,2,1,5,0,0,1,0,0,1,0,10,26,9,10,0,0,0,0,0,0,446
22,444,1,1,5,2,5,1,1,1,4,1,0,2,4,5,6,2,1,1,1,0,4,2,14,26,16,10,1,1,0,0,0,0,562
23,549,2,2,15,15,13,3,9,15,8,2,3,7,5,9,27,2,1,1,2,3,24,4,26,53,20,43,4,9,1,2,2,0,881
24,729,8,5,28,21,23,4,10,39,17,3,4,18,8,32,57,2,6,3,5,5,43,15,36,78,33,62,9,18,2,4,3,0,1330
25,1058,13,11,44,46,33,5,29,60,22,4,4,36,13,83,75,5,9,3,5,22,69,19,54,98,40,104,15,31,7,7,4,1,2029
26,1423,18,26,69,75,46,7,59,70,33,7,2,48,23,128,110,6,13,5,8,35,100,27,80,151,53,128,21,47,11,14,5,6,2854
27,2714,33,26,90,87,51,9,73,106,40,11,3,72,24,168,132,7,20,5,8,35,143,30,80,188,66,173,30,70,13,19,10,6,4542
28,3554,33,44,90,95,51,9,80,106,40,11,3,109,24,168,132,7,27,8,8,46,143,36,91,207,80,173,33,70,15,19,10,6,5528
29,4586,65,70,142,145,78,12,101,200,46,17,3,162,29,278,165,7,35,8,10,63,277,41,114,311,101,428,43,129,18,26,14,6,7730
30,5806,82,80,177,178,87,15,120,237,51,21,3,240,32,352,206,7,39,9,12,87,332,48,132,393,135,537,59,168,20,29,17,8,9719
31,7153,96,91,207,206,100,29,144,297,62,26,3,286,37,422,247,7,47,10,13,101,389,63,168,535,169,599,80,202,23,35,18,9,11874
32,9074,104,93,231,225,111,38,144,340,63,28,3,333,45,493,262,7,56,10,14,101,463,64,168,604,177,661,95,236,23,40,21,9,14336
33,11177,113,105,254,246,127,46,159,408,71,28,4,391,48,566,300,8,66,10,15,116,521,70,191,683,193,724,95,271,27,51,24,11,17119
34,13522,126,117,282,270,139,56,179,480,79,34,5,476,60,675,337,8,74,10,15,142,593,74,212,797,208,829,155,308,34,55,29,15,20395
35,16678,135,122,301,298,150,64,194,530,89,34,54,548,67,764,366,10,81,11,18,142,661,81,228,870,233,895,190,341,42,57,32,17,24303
36,19665,157,128,321,343,168,64,205,591,99,40,54,548,69,851,389,10,81,11,21,165,711,89,253,944,254,954,227,373,42,62,36,17,27942
37,22112,171,135,344,379,172,77,215,665,111,43,65,661,79,914,411,10,96,16,24,184,772,94,274,1018,269,1006,277,408,50,62,39,18,31171
38,24953,195,138,363,407,183,81,224,733,117,45,69,698,81,981,426,10,104,16,26,184,803,99,297,1075,281,1048,296,439,50,71,39,18,34550
39,27100,206,140,386,416,195,96,239,779,128,45,78,740,88,1033,446,10,115,17,26,195,838,105,315,1120,292,1075,307,468,52,79,45,18,37192
40,29631,218,141,405,459,210,109,261,779,136,49,80,771,91,1073,468,10,119,18,36,208,838,107,326,1131,295,1092,331,492,54,83,49,18,40088
41,31728,239,149,417,486,215,118,267,860,142,53,81,804,100,1105,486,10,122,18,42,213,912,108,337,1177,302,1117,360,515,58,86,55,18,42700
42,33366,251,154,436,497,222,131,272,889,151,53,83,844,106,1135,505,10,124,18,49,219,946,116,342,1219,306,1131,378,543,60,86,59,18,44719
43,48206,265,154,451,506,222,135,279,910,157,64,84,872,112,1169,518,10,126,18,50,225,968,116,352,1219,313,1145,395,570,61,87,63,18,59840
44,51986,283,156,463,519,226,140,281,934,158,67,86,900,119,1184,529,10,126,18,53,229,988,117,366,1261,318,1155,418,593,65,90,65,18,63921
45,54406,291,162,470,530,235,143,285,950,162,70,88,913,121,1212,537,10,127,18,56,230,1001,119,372,1294,326,1162,425,604,68,90,70,18,66565
46,56249,300,169,481,537,237,144,287,962,162,70,89,925,122,1231,544,10,128,18,56,236,1004,120,380,1316,328,1167,445,617,70,90,71,18,68583
47,58182,301,171,495,541,238,146,290,973,162,70,89,930,124,1246,551,10,129,20,57,240,1006,121,381,1322,331,1171,457,626,72,90,75,18,70635
48,59989,302,172,508,543,242,146,292,982,163,70,89,933,125,1257,553,10,130,22,60,240,1007,121,381,1328,333,1172,464,629,73,91,76,18,72521
49,61682,306,173,514,544,244,146,293,986,163,71,90,934,128,1262,555,10,131,22,62,242,1008,121,393,1331,333,1173,470,631,75,91,76,18,74278
50,62031,307,172,520,546,245,146,293,987,168,71,91,934,130,1265,560,10,131,23,65,245,1010,121,395,1332,333,1175,476,631,75,91,76,18,74673
51,62442,308,174,525,546,246,146,293,988,168,71,91,934,131,1267,567,10,132,24,68,245,1011,121,396,1333,334,1203,479,631,75,91,76,18,75144
52,62442,308,174,525,546,246,146,293,988,168,71,91,934,131,1267,567,10,132,24,68,245,1011,121,396,1333,334,1203,479,631,75,91,76,18,75144
53,64084,311,174,526,754,249,146,293,989,168,71,91,934,135,1271,573,10,132,26,69,245,1016,121,399,1342,335,1205,480,631,75,91,76,18,77040
